x	y	z	distance
629.91724	-177.03935	1312.7468	146.67798
629.3503	-176.7671	1311.3364	146.52411
629.34796	-176.77338	1311.3678	146.5269
629.34796	-176.77338	1311.3678	146.5269
629.34796	-176.77338	1311.3678	146.5269
629.3478	-176.79741	1311.3953	146.52965
629.48114	-176.87106	1311.6943	146.56302
629.4858	-176.8743	1311.7034	146.56407
629.4858	-176.8743	1311.7034	146.56407
629.48114	-176.87106	1311.6943	146.56302
629.421	-176.83786	1311.5715	146.54904
629.421	-176.83786	1311.5715	146.54904
629.421	-176.83786	1311.5715	146.54904
629.3426	-176.78577	1311.4171	146.53123
629.3426	-176.78577	1311.4171	146.53123
629.3426	-176.78577	1311.4171	146.53123
629.3808	-176.8115	1311.4922	146.5399
629.3808	-176.8115	1311.4922	146.5399
629.3844	-176.84715	1311.5029	146.54144
629.21735	-176.83336	1311.1891	146.50603
629.21735	-176.83336	1311.1891	146.50603
629.29553	-176.88531	1311.343	146.52379
629.29553	-176.88531	1311.343	146.52379
629.29553	-176.88531	1311.343	146.52379
629.29553	-176.88531	1311.343	146.52379
629.36194	-176.86354	1311.482	146.53882
629.36194	-176.86354	1311.482	146.53882
629.36194	-176.86354	1311.482	146.53882
629.36194	-176.86354	1311.482	146.53882
629.36194	-176.86354	1311.482	146.53882
629.3175	-176.85774	1311.4183	146.53113
629.3175	-176.85774	1311.4183	146.53113
629.3175	-176.85774	1311.4183	146.53113
629.3175	-176.85774	1311.4183	146.53113
629.3175	-176.85774	1311.4183	146.53113
629.36194	-176.86354	1311.482	146.53882
629.2842	-176.81909	1311.2926	146.51799
629.2842	-176.81909	1311.2926	146.51799
629.2842	-176.81909	1311.2926	146.51799
629.2842	-176.81909	1311.2926	146.51799
629.2842	-176.81909	1311.2926	146.51799
629.2842	-176.81909	1311.2926	146.51799
629.36194	-176.86354	1311.482	146.53882
629.36194	-176.86354	1311.482	146.53882
629.36194	-176.86354	1311.482	146.53882
629.36194	-176.86354	1311.482	146.53882
629.36194	-176.86354	1311.482	146.53882
629.4703	-176.84065	1311.5833	146.55225
629.4703	-176.84065	1311.5833	146.55225
629.4256	-176.8348	1311.519	146.54451
629.4256	-176.8348	1311.519	146.54451
629.4169	-176.84045	1311.5376	146.54587
629.4605	-176.83409	1311.6296	146.5559
629.4605	-176.83409	1311.6296	146.5559
629.4972	-176.90836	1311.8264	146.57599
629.4972	-176.90836	1311.8264	146.57599
629.7839	-177.66447	1311.9873	146.61183
629.7839	-177.66447	1311.9873	146.61183
630.3273	-178.59108	1311.7764	146.62758
630.3273	-178.59108	1311.7764	146.62758
630.5768	-178.86838	1312.0201	146.66348
