x	y	z	diognalDistance	speedX	speedY	maxControlValue
-81.629105	-88.55279	-328.96454	120.43632	2	2	0.0
-82.43495	-87.963524	-329.12708	120.55332	2	2	0.0
-83.57659	-87.64726	-328.93085	121.10776	2	2	0.0
-84.49807	-86.729645	-327.9901	121.08656	2	2	0.0
-85.035095	-86.69923	-328.50272	121.4402	2	2	0.0
-85.731316	-87.071045	-329.77	122.19339	2	2	0.0
-86.616	-86.6337	-329.6507	122.506035	2	2	0.0
-87.00775	-86.20355	-329.57547	122.4802	2	2	0.0
-88.214806	-85.56497	-330.38666	122.89515	2	2	0.0
-88.55547	-84.95351	-329.44244	122.71581	2	2	0.0
-89.13339	-84.640686	-329.47052	122.91789	2	2	0.0
-90.21054	-84.87686	-330.48322	123.86292	2	2	0.0
-92.11802	-85.17606	-330.7304	125.461914	2	2	0.0
-94.01339	-85.43259	-330.8245	127.032455	2	2	0.0
-94.85345	-85.651886	-331.2914	127.80228	2	2	0.0
-96.7881	-85.64998	-331.93762	129.2434	2	2	0.0
-97.562996	-85.49479	-332.01096	129.72238	2	2	0.0
-98.82778	-85.47754	-332.35562	130.665	2	2	0.0
-99.98878	-85.50375	-333.12372	131.56233	2	2	0.0
-100.61258	-85.44976	-333.0114	132.00209	2	2	0.0
-101.41923	-85.40165	-333.54144	132.58696	2	2	0.0
-102.68307	-85.40719	-335.25644	133.55972	2	2	0.0
-103.21941	-84.46763	-333.4915	133.37552	2	2	0.0
-104.20221	-84.39437	-334.6782	134.09143	2	2	0.0
-104.69572	-84.05645	-334.18246	134.26347	2	2	0.0
-105.664406	-83.73363	-334.15564	134.81946	2	2	0.0
-106.79275	-83.0868	-334.08914	135.30745	2	2	0.0
-107.79275	-83.54042	-335.67944	136.3755	2	2	0.0
-107.90892	-83.198715	-334.3963	136.25844	2	2	0.0
-108.31669	-82.88212	-334.61813	136.38896	2	2	0.0
-109.18247	-82.72321	-335.66547	136.98154	2	2	0.0
-109.65054	-82.36863	-335.1861	137.14165	2	2	0.0
-110.541	-81.7362	-335.4289	137.4777	2	2	0.0
-110.526825	-81.02356	-334.93124	137.04378	2	2	0.0
-110.53517	-80.52072	-333.9441	136.75383	2	2	0.0
-111.2207	-80.46266	-335.29517	137.27449	2	2	0.0
-111.61392	-80.27057	-334.71338	137.48102	2	2	0.0
-112.180595	-80.073204	-335.20258	137.82672	2	2	0.0
