x	y	z	distance
551.9131	-104.39989	1289.1882	140.6241
554.4315	-105.17242	1294.3678	141.20352
554.1599	-105.08541	1293.748	141.1354
554.1599	-105.08541	1293.748	141.1354
554.1466	-105.08346	1293.7253	141.13278
554.2278	-105.099266	1293.8555	141.14801
554.0493	-105.03457	1293.4905	141.10707
554.14453	-105.0504	1293.6494	141.1255
554.14453	-105.0504	1293.6494	141.1255
554.242	-105.10415	1293.9255	141.15503
554.242	-105.10415	1293.9255	141.15503
554.3323	-105.178375	1294.1229	141.17722
554.3323	-105.178375	1294.1229	141.17722
554.4588	-105.24619	1294.5757	141.2242
554.6664	-105.28331	1294.9274	141.26488
554.6664	-105.28331	1294.9274	141.26488
554.6664	-105.28331	1294.9274	141.26488
554.74316	-105.30986	1295.1453	141.28806
554.69775	-105.30197	1295.0703	141.27934
554.7387	-105.31014	1295.2368	141.29628
554.72235	-105.31144	1295.1995	141.29222
555.31964	-105.42609	1296.5381	141.43922
555.22626	-105.40698	1296.3203	141.41547
554.99384	-105.29769	1295.6484	141.34393
554.99384	-105.29769	1295.6484	141.34393
555.2351	-105.376434	1296.229	141.4072
555.2351	-105.376434	1296.229	141.4072
555.2351	-105.376434	1296.229	141.4072
555.2422	-105.358215	1296.1078	141.39622
555.2422	-105.358215	1296.1078	141.39622
555.2575	-105.33189	1296.206	141.40565
555.2575	-105.33189	1296.206	141.40565
555.2737	-105.29135	1296.2229	141.40753
555.2748	-105.31212	1296.1648	141.4024
555.2748	-105.31212	1296.1648	141.4024
550.19977	-101.4738	1287.7881	140.40709
550.19977	-101.4738	1287.7881	140.40709
551.45605	-101.24816	1291.1938	140.76706
551.45605	-101.24816	1291.1938	140.76706
551.66187	-102.109406	1291.4287	140.80289
551.66187	-102.109406	1291.4287	140.80289
550.49054	-102.55087	1289.9668	140.62613
550.27905	-101.733055	1289.0042	140.5236
550.27905	-101.733055	1289.0042	140.5236
549.284	-100.33684	1288.0739	140.38928
549.284	-100.33684	1288.0739	140.38928
549.26245	-101.54787	1291.3214	140.69513
551.0475	-104.462265	1286.9031	140.38109
551.0475	-104.462265	1286.9031	140.38109
553.17126	-104.28155	1288.9845	140.65398
553.17126	-104.28155	1288.9845	140.65398
551.8166	-103.75309	1287.2252	140.43556
551.8166	-103.75309	1287.2252	140.43556
551.776	-104.67812	1288.1802	140.52838
551.776	-104.67812	1288.1802	140.52838
551.2452	-103.218124	1287.9039	140.4714
551.6748	-103.98813	1289.5056	140.6408
551.6748	-103.98813	1289.5056	140.6408
551.6748	-103.98813	1289.5056	140.6408
550.56995	-104.73918	1288.624	140.52222
550.56995	-104.73918	1288.624	140.52222
550.1849	-104.756546	1288.0804	140.45741
550.1849	-104.756546	1288.0804	140.45741
550.45624	-104.72989	1288.3715	140.49454
550.45624	-104.72989	1288.3715	140.49454
550.6946	-104.03126	1287.0253	140.37526
551.2649	-103.198654	1288.1089	140.49083
551.2649	-103.198654	1288.1089	140.49083
551.31885	-102.59477	1288.2852	140.50468
551.2279	-102.577095	1288.0737	140.48161
550.3561	-101.61488	1287.4705	140.3851
550.3561	-101.61488	1287.4705	140.3851
550.3561	-101.61488	1287.4705	140.3851
550.6644	-101.00244	1286.7913	140.33049
550.95776	-100.96588	1287.5946	140.4154
550.95776	-100.96588	1287.5946	140.4154
550.2319	-100.57591	1287.0725	140.33624
550.2319	-100.57591	1287.0725	140.33624
550.3096	-100.54707	1288.346	140.45589
550.3096	-100.54707	1288.346	140.45589
550.6157	-102.001724	1287.6	140.40996
550.9858	-102.27116	1287.5215	140.41925
550.9858	-102.27116	1287.5215	140.41925
550.3788	-101.99736	1286.794	140.32672
550.3788	-101.99736	1286.794	140.32672
548.82306	-100.95668	1286.0802	140.19276
548.82306	-100.95668	1286.0802	140.19276
548.82306	-100.95668	1286.0802	140.19276
548.1221	-100.57855	1285.8068	140.13754
549.3843	-101.267654	1287.0815	140.30885
549.62146	-101.38656	1286.3611	140.2529
549.62146	-101.38656	1286.3611	140.2529
548.8227	-101.19205	1286.1818	140.20377
